iter	Passed	Remaining
649	3903	2102
650	3909	2095
651	3914	2089
652	3920	2083
653	3926	2077
654	3932	2071
655	3937	2064
656	3943	2058
657	3948	2052
658	3953	2045
659	3959	2039
660	3966	2034
661	3972	2028
662	3978	2022
663	3983	2015
664	3989	2009
665	3994	2003
666	4000	1997
667	4005	1990
668	4011	1984
669	4017	1978
670	4022	1972
671	4029	1966
672	4034	1960
673	4084	1975
674	4091	1969
675	4097	1964
676	4103	1957
677	4109	1951
678	4114	1945
679	4120	1939
680	4126	1932
681	4131	1926
682	4137	1920
683	4143	1914
684	4149	1908
685	4155	1901
686	4160	1895
687	4166	1889
688	4172	1883
689	4177	1876
690	4183	1870
691	4189	1864
692	4194	1858
693	4200	1852
694	4206	1845
695	4211	1839
696	4217	1833
697	4223	1827
698	4228	1821
699	4234	1814
700	4240	1808
701	4246	1802
702	4251	1796
703	4257	1790
704	4263	1784
705	4269	1777
706	4275	1771
707	4280	1765
708	4286	1759
709	4292	1753
710	4298	1747
711	4303	1740
712	4309	1734
713	4314	1728
714	4319	1721
715	4325	1715
716	4330	1709
717	4336	1703
718	4342	1696
719	4347	1690
720	4353	1684
721	4358	1678
722	4364	1672
723	4369	1665
724	4375	1659
725	4381	1653
726	4387	1647
727	4393	1641
728	4398	1635
729	4404	1629
730	4410	1623
731	4416	1616
732	4422	1610
733	4427	1604
734	4433	1598
735	4439	1592
736	4445	1586
737	4451	1580
738	4456	1574
739	4462	1567
740	4468	1561
741	4474	1555
742	4479	1549
743	4486	1543
744	4491	1537
745	4497	1531
746	4502	1525
747	4508	1518
748	4513	1512
749	4519	1506
750	4525	1500
751	4531	1494
752	4537	1488
753	4543	1482
754	4549	1476
755	4555	1470
756	4561	1464
757	4567	1458
758	4572	1451
759	4578	1445
760	4583	1439
761	4589	1433
762	4595	1427
763	4601	1421
764	4606	1415
765	4612	1409
766	4619	1403
767	4625	1397
768	4630	1390
769	4636	1384
770	4642	1378
771	4647	1372
772	4653	1366
773	4658	1360
774	4664	1354
775	4670	1348
776	4676	1342
777	4682	1336
778	4688	1330
779	4694	1324
780	4700	1318
781	4706	1312
782	4711	1305
783	4717	1299
784	4723	1293
785	4728	1287
786	4734	1281
787	4739	1275
788	4744	1268
789	4750	1262
790	4756	1256
791	4761	1250
792	4768	1244
793	4773	1238
794	4779	1232
795	4785	1226
796	4791	1220
797	4797	1214
798	4803	1208
799	4809	1202
800	4814	1196
801	4820	1190
802	4826	1184
803	4832	1178
804	4838	1172
805	4843	1165
806	4849	1159
807	4854	1153
808	4860	1147
809	4865	1141
810	4871	1135
811	4876	1129
812	4882	1122
813	4887	1116
814	4892	1110
815	4898	1104
816	4903	1098
817	4909	1092
818	4915	1086
819	4920	1080
820	4926	1074
821	4931	1067
822	4937	1061
823	4942	1055
824	4948	1049
825	4953	1043
826	4958	1037
827	4963	1031
828	4969	1025
829	4974	1018
830	4980	1012
831	4986	1006
832	4991	1000
833	4996	994
834	5002	988
835	5007	982
836	5014	976
837	5019	970
838	5025	964
839	5031	958
840	5036	952
841	5042	946
842	5047	940
843	5053	934
844	5072	930
845	5118	931
846	5124	925
847	5129	919
848	5134	913
849	5139	906
850	5145	900
851	5151	894
852	5157	888
853	5162	882
854	5168	876
855	5173	870
856	5179	864
857	5184	857
858	5189	851
859	5195	845
860	5200	839
861	5206	833
862	5211	827
863	5216	821
864	5222	814
865	5227	808
866	5232	802
867	5238	796
868	5243	790
869	5248	784
870	5254	778
871	5259	772
872	5264	765
873	5270	759
874	5276	753
875	5281	747
876	5286	741
877	5292	735
878	5298	729
879	5304	723
880	5309	717
881	5315	711
882	5320	704
883	5326	698
884	5331	692
885	5336	686
886	5342	680
887	5348	674
888	5354	668
889	5359	662
890	5365	656
891	5370	650
892	5376	644
893	5381	638
894	5387	632
895	5393	626
896	5399	619
897	5404	613
898	5410	607
899	5416	601
900	5421	595
901	5427	589
902	5432	583
903	5437	577
904	5443	571
905	5448	565
906	5453	559
907	5459	553
908	5465	547
909	5470	541
910	5476	535
911	5481	528
912	5487	522
913	5492	516
914	5498	510
915	5503	504
916	5508	498
917	5513	492
918	5519	486
919	5524	480
920	5530	474
921	5535	468
922	5541	462
923	5546	456
924	5552	450
925	5557	444
926	5562	438
927	5568	432
928	5573	425
929	5579	419
930	5585	413
931	5590	407
932	5596	401
933	5601	395
934	5606	389
935	5612	383
936	5617	377
937	5624	371
938	5629	365
939	5634	359
940	5640	353
941	5645	347
942	5651	341
943	5656	335
944	5662	329
945	5667	323
946	5673	317
947	5678	311
948	5683	305
949	5689	299
950	5695	293
951	5700	287
952	5705	281
953	5711	275
954	5716	269
955	5722	263
956	5727	257
957	5732	251
958	5738	245
959	5743	239
960	5749	233
961	5755	227
962	5760	221
963	5766	215
964	5771	209
965	5776	203
966	5782	197
967	5787	191
968	5792	185
969	5797	179
970	5803	173
971	5809	167
972	5814	161
973	5819	155
974	5825	149
975	5830	143
976	5836	137
977	5841	131
978	5846	125
979	5851	119
980	5860	113
981	5871	107
982	5876	101
983	5882	95
984	5887	89
985	5893	83
986	5898	77
987	5903	71
988	5909	65
989	5914	59
990	5920	53
991	5925	47
992	5930	41
993	5936	35
994	5941	29
995	5948	23
996	5960	17
997	5967	11
998	5974	5
999	5981	0
